,Unnamed: 0,Client ID,Client tenure year,Client tenure month,Client age,Gender,Number of accounts,Balance,Calls in the last 6 months,Log ons in the last 6 months,Variation,confirm,start,step_1,step_2,step_3,visit_duration
43029,43029,1516,12.0,150.0,58.0,F,2.0,25408.39,5.0,8.0,Test,1,6,4,4,1,4
43030,43030,8277940,4.0,57.0,47.0,U,2.0,168686.21,6.0,9.0,Control,0,1,1,1,0,0
43031,43031,2382972,9.0,119.0,58.0,F,2.0,25573.0,6.0,9.0,Control,0,1,1,1,1,2
43032,43032,3880406,6.0,72.0,25.0,U,2.0,40848.02,0.0,3.0,Test,1,1,1,1,1,8
43034,43034,4412635,4.0,59.0,25.0,U,2.0,51491.41,6.0,9.0,Test,1,2,4,3,2,5
43035,43035,5430666,11.0,136.0,38.0,F,2.0,65104.17,4.0,7.0,Test,0,4,2,1,0,15
43036,43036,1605268,11.0,143.0,76.0,F,2.0,29358.24,0.0,4.0,Test,0,1,1,0,0,1
43037,43037,495547,5.0,71.0,62.0,U,2.0,369302.75,6.0,9.0,Test,1,1,1,1,1,3
43038,43038,8397479,10.0,121.0,34.0,M,2.0,54146.7,5.0,8.0,Test,1,2,2,2,2,4
43039,43039,777716,28.0,337.0,29.0,F,3.0,350837.8,5.0,8.0,Test,1,1,1,1,1,5
43040,43040,7742670,34.0,412.0,74.0,M,2.0,724086.01,5.0,8.0,Test,0,3,0,0,0,2
43041,43041,8433974,6.0,83.0,20.0,U,2.0,27577.46,6.0,9.0,Control,0,4,0,0,0,0
43042,43042,4344239,30.0,362.0,92.0,F,2.0,212451.69,3.0,6.0,Control,1,5,3,5,4,18
43043,43043,8738591,13.0,156.0,74.0,M,2.0,258713.57,1.0,4.0,Test,0,2,2,0,0,28
43044,43044,36363,6.0,82.0,30.0,U,2.0,67935.79,6.0,9.0,Test,1,1,1,1,1,4
43045,43045,1330281,7.0,91.0,39.0,F,2.0,25731.7,1.0,4.0,Test,1,6,2,1,1,0
43047,43047,1967874,9.0,118.0,50.0,M,2.0,343534.52,6.0,9.0,Test,1,3,2,2,2,5
43048,43048,9423009,7.0,85.0,66.0,U,2.0,300588.55,2.0,5.0,Control,1,1,2,3,3,6
43049,43049,3703213,8.0,106.0,64.0,F,2.0,58917.06,6.0,9.0,Test,1,1,1,1,1,33
43050,43050,3662912,10.0,120.0,73.0,M,2.0,41334.8,0.0,4.0,Control,0,3,5,5,1,14
43051,43051,1567815,10.0,126.0,49.0,F,2.0,284165.95,0.0,3.0,Control,1,3,1,1,1,5
43052,43052,2173057,5.0,69.0,64.0,M,2.0,135374.24,6.0,9.0,Test,1,1,1,1,1,6
43054,43054,4224830,9.0,114.0,74.0,M,2.0,314322.12,0.0,3.0,Control,0,2,1,0,0,1
43055,43055,5319464,7.0,86.0,56.0,U,2.0,80919.65,1.0,4.0,Test,1,3,2,2,2,4
43056,43056,7168003,33.0,405.0,74.0,F,3.0,153793.31,6.0,9.0,Test,0,4,4,8,6,20
43057,43057,6770208,5.0,66.0,54.0,U,2.0,27986.35,6.0,9.0,Test,0,2,1,1,0,2
43058,43058,8484054,33.0,405.0,43.0,M,2.0,30467.49,3.0,6.0,Test,1,1,1,1,1,2
43059,43059,7342640,12.0,147.0,60.0,F,2.0,36860.46,0.0,3.0,Test,2,1,1,1,1,6
